AT4G22870_2,5.387890078,5.537393401,5.462112688,5.548970423,5.360433449,5.416749552,5.648556509,5.62245169,5.354045961,5.490355476,5.721696107,5.654701167,5.657481212,5.707301965,5.531070238,5.90214142,5.565781687,5.314273151,5.850167962,5.855706901,5.690249298,5.729875054,5.883073444,5.654764084,5.790892612,6.46490305,7.522518633,6.538572324,6.659141159,6.217112698,7.881763132,7.463607658,6.661478192,6.497466914,5.842158109,5.781195583,6.911246154,6.39252123,6.375118637,7.660120321,7.246271062,7.397389362,8.601998611,9.919178688,9.907013759,9.819470446,5.170543053,4.852618874,5.168615269,6.010490191,5.799733396,6.007755794,5.466649073,5.421903271,5.236805721,5.298427467,5.780939813,8.488300269,9.212421885,9.542637808,9.599830232,9.525137308,9.859925515,6.223067674,8.528228859,9.385089837,9.760986746,9.537183581,9.799082699,10.26726366,6.108391718,7.762893179,9.265768319,9.514946636,9.92611671,9.521791433,9.46388808,9.939367585,9.908075228,9.348606123,9.817310208,9.806397704,10.07783182,6.011385574,6.387852186,5.685332805,6.039383539,6.460705096,5.741517942,5.16726273,4.88960352,5.123956598,5.078720106,5.229316572,5.245508631,5.003321955,5.333124355,5.253115724,5.145199267,5.089453876,5.225264012,5.713507764,6.250213076,5.565877681,5.678043591,5.648556509,5.749289276,5.90214142,5.690249298,5.654764084,5.654701167,5.707301965,5.531070238,5.335505462,5.368491001,5.565781687,5.850167962,5.729875054,5.883073444,5.790892612,5.751118745,5.387890078,5.537393401,5.548970423,5.360433449,5.416749552,5.62245169,5.490355476
AT3G11180_2,5.242248546,4.941356973,4.97485618,4.818486992,4.930649954,4.91845144,4.820597867,5.410407202,5.068889487,5.087403109,4.843730974,4.720987598,4.765468708,4.909930511,4.985778523,4.941270187,4.876080562,4.951395919,4.840533255,4.781794647,4.992570398,4.802005042,4.969664645,5.26112278,5.206364444,4.776894196,4.669159393,4.639249545,4.64212253,4.674740492,4.729342212,4.736383165,4.759787468,4.754236979,4.594463151,4.69376845,4.620234937,4.68772713,4.548404721,4.749771022,4.762246883,4.786166974,4.535368694,4.939664302,5.117968808,5.000989934,6.907291742,6.596895918,6.831223938,5.314176672,5.170388828,5.739537144,4.870841205,4.899908302,4.686155992,4.607353381,4.37936197,4.254320832,4.541319849,4.532737821,4.455563787,4.554294613,4.114232008,4.398930569,4.175845835,4.548362376,4.465790672,4.51323764,4.336329736,4.646003093,4.584907527,4.543851081,4.48521569,4.346630553,4.415796871,4.288918808,4.408203462,5.664626871,5.456423077,5.424822858,5.485527605,5.321517898,5.565739857,6.394576193,6.108977559,6.526670821,6.53162133,6.517780764,6.581791734,5.181375784,4.634711205,5.014134331,4.954170477,5.277516768,5.158254912,5.131992869,5.094250601,5.266160292,5.024180816,5.027693731,5.077093172,5.756436468,5.294776081,5.377641595,5.440475898,4.820597867,4.86327516,4.941270187,4.992570398,5.26112278,4.720987598,4.909930511,4.985778523,4.914579164,4.900092854,4.876080562,4.840533255,4.802005042,4.969664645,5.206364444,5.063956965,5.242248546,4.941356973,4.818486992,4.930649954,4.91845144,5.410407202,5.087403109
AT4G16330_2,9.794988332,9.617236733,9.886967847,9.032621867,8.973043162,9.03395649,9.010208666,9.327349114,9.59127008,9.614388248,9.081169334,9.309594963,9.440915593,8.809615071,8.977095025,9.180683225,9.293370237,9.269407312,8.919093783,8.790597265,9.094901321,8.824211427,8.998300962,8.737230621,8.986261661,9.469345492,9.343006472,9.081713805,9.169784458,9.475993987,9.180760851,9.153074537,8.937859485,9.448741553,9.573738256,9.517107535,9.256933006,9.464348154,9.580084475,9.551556678,9.517789384,9.397920307,9.222734172,9.239370588,9.375783517,9.213192242,9.82829414,9.892704867,9.977519735,9.706257845,9.717564158,9.671848064,9.412027267,9.38979523,9.275235296,9.507355494,9.417187976,9.548674323,9.426606926,9.588132796,9.436212758,9.303472225,9.514041223,9.301460538,9.485011234,9.561917797,9.364877714,9.294913093,9.280699644,9.60702035,9.515093999,9.616689186,9.551855537,9.352543037,9.340837217,9.392565754,9.583205668,9.619899166,9.723363735,9.648220814,9.640403904,9.600225539,9.730935878,9.692818537,9.746764229,9.59648535,9.619715722,9.84256021,9.772824982,9.107822275,8.939890578,8.892309506,8.802728215,9.17030882,8.795518008,8.953132986,8.786861058,8.506083995,9.554700028,9.046427739,9.462227552,9.379981563,9.611245274,9.791295359,9.543981476,9.010208666,9.047916726,9.180683225,9.094901321,8.737230621,9.309594963,8.809615071,8.977095025,9.404912394,9.425708022,9.293370237,8.919093783,8.824211427,8.998300962,8.986261661,8.796858559,9.794988332,9.617236733,9.032621867,8.973043162,9.03395649,9.327349114,9.614388248
AT4G22880_2,5.387890078,5.537393401,5.462112688,5.548970423,5.360433449,5.416749552,5.648556509,5.62245169,5.354045961,5.490355476,5.721696107,5.654701167,5.657481212,5.707301965,5.531070238,5.90214142,5.565781687,5.314273151,5.850167962,5.855706901,5.690249298,5.729875054,5.883073444,5.654764084,5.790892612,6.46490305,7.522518633,6.538572324,6.659141159,6.217112698,7.881763132,7.463607658,6.661478192,6.497466914,5.842158109,5.781195583,6.911246154,6.39252123,6.375118637,7.660120321,7.246271062,7.397389362,8.601998611,9.919178688,9.907013759,9.819470446,5.170543053,4.852618874,5.168615269,6.010490191,5.799733396,6.007755794,5.466649073,5.421903271,5.236805721,5.298427467,5.780939813,8.488300269,9.212421885,9.542637808,9.599830232,9.525137308,9.859925515,6.223067674,8.528228859,9.385089837,9.760986746,9.537183581,9.799082699,10.26726366,6.108391718,7.762893179,9.265768319,9.514946636,9.92611671,9.521791433,9.46388808,9.939367585,9.908075228,9.348606123,9.817310208,9.806397704,10.07783182,6.011385574,6.387852186,5.685332805,6.039383539,6.460705096,5.741517942,5.16726273,4.88960352,5.123956598,5.078720106,5.229316572,5.245508631,5.003321955,5.333124355,5.253115724,5.145199267,5.089453876,5.225264012,5.713507764,6.250213076,5.565877681,5.678043591,5.648556509,5.749289276,5.90214142,5.690249298,5.654764084,5.654701167,5.707301965,5.531070238,5.335505462,5.368491001,5.565781687,5.850167962,5.729875054,5.883073444,5.790892612,5.751118745,5.387890078,5.537393401,5.548970423,5.360433449,5.416749552,5.62245169,5.490355476
AT3G55970_2,8.101457083,8.114783948,8.267568934,5.58896951,5.533777674,5.647013299,7.599444865,7.023117361,7.092325997,6.679411837,6.71692663,5.724052774,5.862655854,5.795272222,5.282841044,5.361357769,5.66223005,5.355647382,5.608926894,6.134219644,6.518181274,7.291157128,7.027901464,6.395640603,6.485418266,5.277717059,5.384454734,4.968427815,6.512681733,5.964654438,4.776987664,5.727208392,5.042915553,4.627461069,4.660267016,4.800371343,4.913259289,4.92534124,5.189972448,4.491907915,5.057754133,4.87952907,4.841623708,4.52646128,4.518288649,4.318840785,5.620268444,5.605983274,5.399263758,5.086872514,5.234740549,4.934100899,5.143395047,4.639651675,4.773386962,5.566259638,4.488702201,4.563760152,4.355930986,4.370186016,4.943079885,5.114972785,4.520055916,4.440150241,4.543422938,4.461161337,4.480095615,4.957435323,5.34057015,4.476264928,4.748553702,5.344306943,4.40401937,4.951820063,5.18207749,5.410726174,5.060196299,4.908808259,4.933176309,5.20695137,5.006460607,5.232730972,5.374475112,5.005305523,7.049529101,5.404599321,5.164026647,4.930605712,5.044738877,9.262948099,7.810879247,8.867141839,9.617322054,7.57631024,9.098105967,9.182346798,7.936494245,8.826111488,9.960187894,8.670747548,8.412944709,6.359642166,6.330735991,5.766360072,5.802632508,7.599444865,5.4160524,5.361357769,6.518181274,6.395640603,5.724052774,5.795272222,5.282841044,5.579913878,5.35806952,5.66223005,5.608926894,7.291157128,7.027901464,6.485418266,6.587013877,8.101457083,8.114783948,5.58896951,5.533777674,5.647013299,7.023117361,6.679411837
AT5G05600_2,10.47540662,10.56065009,10.55645409,9.487992657,9.269051902,9.460237682,9.406407262,10.74249272,10.95663977,10.98670248,9.23290537,8.695242692,9.964355067,10.09375702,8.934625591,10.07719669,9.352064689,10.13467356,9.022443282,8.675379769,9.036363296,10.06351768,9.384980509,9.262622631,9.130617769,7.104311349,7.325975857,7.028247382,8.723709689,8.113018361,6.181864347,7.139257463,6.306736212,5.450938696,6.204999396,6.576118058,6.782708588,6.310073437,6.14678848,5.307508472,5.447005762,5.842278548,5.435528026,6.562480735,6.77786059,6.577438374,6.3163426,6.3679271,6.53719098,7.860995811,8.121024954,7.994682457,8.204823417,8.263769684,8.128807052,9.052402534,7.373519988,7.61086819,7.608364259,8.618678614,8.779027106,9.005946529,6.736003123,7.32725881,7.546519541,7.474352453,8.306818306,8.198365415,8.968613203,6.642841115,7.17533651,7.626618315,7.134811761,8.123552178,8.473379365,8.932494175,7.474635834,7.280963887,7.652966572,7.635417332,6.835450563,6.968455313,7.030009173,7.171859179,7.445172906,7.133568781,6.757090644,5.879038346,6.042865824,11.82698744,10.71869365,11.75761098,12.2115803,10.63233879,12.42557599,9.846993082,10.059424,10.55043202,10.60956341,10.15826006,9.749588394,8.225819923,9.031228419,6.873835477,7.02860501,9.406407262,8.906084781,10.07719669,9.036363296,9.262622631,8.695242692,10.09375702,8.934625591,9.348353044,9.416974986,9.352064689,9.022443282,10.06351768,9.384980509,9.130617769,9.145653716,10.47540662,10.56065009,9.487992657,9.269051902,9.460237682,10.74249272,10.98670248
AT2G38240_2,7.476754958,7.302363785,7.088866131,6.686352228,7.064997618,6.796259865,8.798721454,7.308678958,7.449272865,7.478234058,7.190954801,6.668011322,7.973847601,8.307800227,6.822425774,8.505035894,7.089128276,8.253053824,6.834959605,6.807050772,6.875908659,7.037244804,7.016005022,7.129658907,7.159019785,6.94568727,7.158298745,6.968394175,7.205708118,6.854195513,6.902996947,6.980298008,6.903538124,6.982379145,6.924300552,7.118325243,6.856430342,6.986019155,7.140017436,6.822805419,6.929739372,6.807733624,6.727623804,6.344834449,6.258785629,6.307020781,6.548747868,6.694855857,6.357043424,8.177881905,8.177387543,7.989553143,6.663583128,6.744624835,6.787427695,8.485004825,6.182583463,5.881087449,8.571402874,7.72411239,8.296118063,7.495115604,5.90980296,5.810690186,6.009456366,8.482856078,7.662746972,7.293956948,7.30568295,5.92802333,6.403966812,6.917419558,7.101946773,6.804014101,7.997888683,7.944454674,6.467564201,6.015732732,6.170458104,6.056562729,5.760628405,5.702457426,6.167679499,5.560216977,5.659997928,6.006637517,5.8734083,5.930531705,6.046978513,10.41280541,6.528532058,9.080827737,10.73267489,8.241289416,10.82681435,6.59120155,6.291338333,6.477494332,9.145261083,6.223772348,5.737571486,6.897435097,7.312977077,6.903720134,6.716105972,8.798721454,7.228684953,8.505035894,6.875908659,7.129658907,6.668011322,8.307800227,6.822425774,6.940027695,6.816049602,7.089128276,6.834959605,7.037244804,7.016005022,7.159019785,7.066870888,7.476754958,7.302363785,6.686352228,7.064997618,6.796259865,7.308678958,7.478234058
AT5G12270_2,5.179088832,5.111363383,5.3653265,5.013889606,5.227431808,5.241800684,5.546698053,5.371387999,5.190079334,5.186248262,5.085113697,5.354185119,5.272066646,5.300098951,5.109649802,5.179900516,5.332142729,4.957216892,5.204491414,5.295637552,5.336140288,5.084648731,5.162365732,5.064734734,5.222782694,5.060104779,5.11995045,5.021444911,5.056432294,4.95694133,5.062273989,4.836179095,5.05568279,5.143812788,5.055358993,5.001594815,5.113882559,5.167361584,5.147018306,4.881489748,4.889910328,4.933355208,4.940370111,4.867020331,4.942668326,4.971863466,5.146936511,4.985520434,5.049061645,4.923623959,5.067224534,4.763595586,5.306228489,5.347155658,5.068506607,4.958752522,4.811267584,4.54265368,4.492244252,4.43097916,4.979019511,4.825783952,4.672776083,4.320805454,4.697634074,4.825995068,4.661433843,4.947083709,4.608797554,4.606006378,4.870765927,4.834348625,4.669238729,4.689823653,4.815050183,4.588508335,4.985663516,5.098080311,4.915951194,4.840636796,4.903061463,5.100709154,4.931471726,4.916309349,5.011103078,5.000307254,5.16794981,4.965489798,4.864961227,5.156076264,4.748084628,4.795148444,4.934956047,4.984304387,4.727788601,5.244264227,4.94263757,4.524599814,5.270484267,4.708945133,4.845117818,5.44577377,5.10613693,5.563799399,5.19532429,5.546698053,5.167177226,5.179900516,5.336140288,5.064734734,5.354185119,5.300098951,5.109649802,5.378192507,5.016356491,5.332142729,5.204491414,5.084648731,5.162365732,5.222782694,5.088784222,5.179088832,5.111363383,5.013889606,5.227431808,5.241800684,5.371387999,5.186248262
AT4G27570_2,8.909097557,9.009972659,9.075289792,8.709702161,8.586146163,8.609432823,8.121136657,9.366622862,9.27478676,9.090208894,6.815972438,6.164946697,9.565689031,8.07723687,6.930378514,8.548780545,7.978630551,8.945097803,7.446881958,7.308929733,7.734464475,8.157677569,7.930665484,7.477052519,7.481094386,7.757716261,7.965786001,7.508656915,7.454215108,7.058886561,7.494474178,7.926355608,7.698959606,8.177882358,7.647954204,7.831870128,8.275266636,8.603419369,8.548844948,9.56057007,9.466875564,7.94322086,8.215125543,9.800302209,9.787324751,9.823055342,7.393632581,7.464268494,7.487774109,9.77453515,9.753912444,9.659444407,8.768443874,8.718683699,8.162031189,8.743144868,10.00491353,9.90910809,10.23893301,10.17122726,10.05446431,9.996825415,9.628056304,9.69974152,9.854831442,10.18287554,10.12986087,9.914587181,9.983562305,9.701502087,9.98609665,9.798852252,10.30228372,9.844052691,10.27285908,10.05887937,9.457324461,8.354884639,9.173026293,7.898309808,8.178766749,8.04403929,7.807038609,7.38975628,8.272227667,7.148580553,7.451681937,6.974465565,7.073691029,10.32081831,8.138035853,9.448448305,10.35392136,8.47504366,9.171248445,8.721825514,8.647814376,9.499230072,9.289392879,8.364072733,8.49215295,7.788081523,8.596872516,6.505196042,6.55082253,8.121136657,8.018507677,8.548780545,7.734464475,7.477052519,6.164946697,8.07723687,6.930378514,8.368007618,8.4379855,7.978630551,7.446881958,8.157677569,7.930665484,7.481094386,7.654404393,8.909097557,9.009972659,8.709702161,8.586146163,8.609432823,9.366622862,9.090208894
AT2G29740_2,5.677484394,5.615378817,5.860328454,6.305854407,6.253111204,6.323472449,6.053361051,6.077585984,6.403507662,5.965102746,5.951206622,5.940661784,6.42607913,6.558348498,6.087252144,6.368244013,6.295773451,6.449864376,7.002507415,7.061766496,6.352003307,6.419399868,6.502885891,5.873670307,5.94543638,6.218422195,5.782903131,5.634747861,5.777666818,5.653252346,5.668919518,5.656675938,5.708900046,5.721471676,5.785491038,5.962576732,5.671746244,5.607504855,5.984002942,5.707760561,5.658705847,5.55894184,5.701828611,6.438215788,6.498405808,6.522014149,5.432617227,5.612497592,5.342535758,5.337083596,5.141575169,5.397188088,5.920463039,6.199507668,5.264173845,5.608011456,6.851249601,7.775639515,8.123684368,8.719124124,7.767454542,8.043713673,7.090992727,7.064531118,7.402575762,8.161780429,8.512472169,7.460864968,8.278633382,6.74245743,6.601924965,6.945729654,8.301469928,8.108287358,7.973683617,8.115370867,7.082811796,5.622348732,5.740062857,5.672301241,5.575094329,6.004257784,5.768074458,5.620821415,5.678935571,5.424158952,5.730406123,5.571564557,5.63538749,5.122196512,5.513336373,5.37864396,5.937676575,5.979243306,5.92056158,5.318784671,5.881995893,5.619905469,5.668662109,5.53027827,5.523151151,5.539405305,5.670994876,5.712599976,5.750962877,6.053361051,5.756041055,6.368244013,6.352003307,5.873670307,5.940661784,6.558348498,6.087252144,6.31371533,6.54515237,6.295773451,7.002507415,6.419399868,6.502885891,5.94543638,5.85124175,5.677484394,5.615378817,6.305854407,6.253111204,6.323472449,6.077585984,5.965102746
